2008	Jan	-6.03
2008	Feb	-3.17
2008	Mar	-0.70
2008	Apr	4.41
2008	May	-7.91
2008	Jun	-8.60
2008	Jul	-0.59
2008	Aug	1.57
2008	Sep	-9.11
2008	Oct	-16.79
2008	Nov	-7.48
2008	Dec	-6.89
2009	Jan	4.96
2009	Feb	-10.96
2009	Mar	8.54
2009	Apr	9.39
2009	May	5.99
2009	Jun	0.86
2009	Jul	7.41
2009	Aug	3.36
2009	Sep	3.69
2009	Oct	2.64
2009	Nov	5.67
2009	Dec	1.99
2010	Jan	-3.70
2010	Feb	3.17
2010	Mar	5.94
2010	Apr	1.47
2010	May	-8.23
2010	Jun	-5.36
2010	Jul	6.93
2010	Aug	-4.68
2010	Sep	9.58
2010	Oct	3.68
2010	Nov	4.08
2010	Dec	6.56
2011	Jan	2.28
2011	Feb	3.16
2011	Mar	0.38
2011	Apr	2.87
2011	May	-1.31
2011	Jun	-1.83
2011	Jul	-2.18
2011	Aug	-5.44
2011	Sep	-6.03
2011	Oct	10.77
2011	Nov	0.53
2011	Dec	-0.61
2012	Jan	4.48
2012	Feb	4.09
2012	Mar	3.25
2012	Apr	0.03
2012	May	-6.27
2012	Jun	-1.34
2012	Jul	1.39
2012	Aug	2.25
2012	Sep	2.42
2012	Oct	2.37
2012	Nov	-0.54
2012	Dec	0.76
2013	Jan	5.04
2013	Feb	1.13
2013	Mar	3.60
2013	Apr	1.79
2013	May	2.08
2013	Jun	-1.50
2013	Jul	5.09
2013	Aug	2.57
2013	Sep	3.14
2013	Oct	4.46
2013	Nov	2.80
2013	Dec	2.34
2014	Jan	-3.56
2014	Feb	4.31
2014	Mar	0.69
2014	Apr	0.72
2014	May	2.34
2014	Jun	1.90
2014	Jul	0.68
2014	Aug	4.00
2014	Sep	1.97
2014	Oct	2.32
2014	Nov	2.50
2014	Dec	0.92
2015	Jan	-3.10
2015	Feb	5.49
2015	Mar	0.95
2015	Apr	0.87
2015	May	1.05
2015	Jun	0.16
2015	Jul	2.26
2015	Aug	-6.03
2015	Sep	-3.13
2015	Oct	8.30
2015	Nov	0.06
2015	Dec	-1.75
2016	Jan	-5.07
2016	Feb	0.39
2016	Mar	6.78
2016	Apr	0.39
2016	May	1.80
2016	Jun	0.09
2016	Jul	3.56
2016	Aug	0.08
2016	Sep	0
2016	Oct	-1.81
2016	Nov	3.70
2016	Dec	1.82
2017	Jan	1.79
2017	Feb	3.72
2017	Mar	0.12
2017	Apr	0.91
2017	May	1.41
2017	Jun	0.48
2017	Jul	1.93
2017	Aug	0.28
2017	Sep	1.93
2017	Oct	2.33
2017	Nov	2.81
2017	Dec	1.11
2018	Jan	5.58
2018	Feb	3.65
2018	Mar	-2.69
2018	Apr	0.27
2018	May	2.41
2018	Jun	-0.23
2018	Jul	3.60
2018	Aug	3.26
2018	Sep	0.58
2018	Oct	-6.94
2018	Nov	1.80
2018	Dec	-9.18
2019	Jan	8.01
2019	Feb	3.18
2019	Mar	1.94
2019	Apr	3.93
2019	May	-6.58
2019	Jun	6.93
2019	Jul	1.31
2019	Aug	-1.81
2019	Sep	1.72
2019	Oct	2.17
2019	Nov	3.63
2019	Dec	2.86
2020	Jan	0.24
2020	Feb	-8.23
2020	Mar	-12.51
2020	Apr	12.82
2020	May	4.76
2020	Jun	1.99
2020	Jul	5.64
2020	Aug	7.01
2020	Sep	-3.92
2020	Oct	-2.77
2020	Nov	10.75
2020	Dec	3.84
2021	Jan	-1.01
2021	Feb	2.61
2021	Mar	5
2021	Apr	5.24
2021	May	0.70
2021	Jun	2.33
2021	Jul	2.28
2021	Aug	2.90
2021	Sep	-4.77
2021	Oct	7.96
2021	Nov	3.39
2021	Dec	2.88
2022	Jan	6.56
2022	Feb	-2.84
2022	Mar	2.06
2022	Apr	1.82
2022	May	-3.19
2022	Jun	1.68
2022	Jul	0.28
2022	Aug	1.53
2022	Sep	4.77
2022	Oct	5.41
2022	Nov	0.09
2022	Dec	1.92
2023	Jan	3.55
2023	Feb	3.44
2023	Mar	-2.41
