1974	1	-2.47%	1400.41	46.60
1974	2	4.57%	1464.47	47.20
1974	3	-4.82%	1393.94	47.80
1974	4	-2.71%	1356.22	48.00
1974	5	0.46%	1362.42	48.60
1974	6	-11.35%	1207.83	49.00
1974	7	-3.76%	1162.36	49.40
1974	8	-10.01%	1045.96	50.00
1974	9	2.38%	1070.83	50.60
1974	10	3.74%	1110.91	51.10
1974	11	-6.09%	1043.24	51.50
1974	12	8.63%	1133.30	51.90
1975	1	10.81%	1255.78	52.10
1975	2	4.97%	1318.24	52.50
1975	3	1.49%	1337.84	52.70
1975	4	6.71%	1427.64	52.90
1975	5	2.89%	1468.97	53.20
1975	6	0.43%	1475.31	53.60
1975	7	-7.00%	1372.10	54.20
1975	8	-0.85%	1360.40	54.30
1975	9	4.97%	1428.03	54.60
1975	10	2.04%	1457.18	54.90
1975	11	-1.18%	1439.99	55.30
1975	12	9.55%	1577.44	55.50
1976	1	4.18%	1643.35	55.60
1976	2	0.80%	1656.54	55.80
1976	3	1.10%	1674.69	55.90
1976	4	-0.38%	1668.27	56.10
1976	5	0.90%	1683.29	56.50
1976	6	2.67%	1728.16	56.80
1976	7	-0.56%	1718.47	57.10
1976	8	2.44%	1760.36	57.40
1976	9	-3.11%	1705.65	57.60
1976	10	-0.37%	1699.39	57.90
1976	11	3.79%	1763.74	58.00
1976	12	-0.54%	1754.26	58.20
1977	1	-2.37%	1712.71	58.50
1977	2	-0.05%	1711.79	59.10
1977	3	-1.19%	1691.35	59.50
1977	4	0.06%	1692.44	60.00
1977	5	0.90%	1707.67	60.30
1977	6	1.28%	1729.57	60.70
1977	7	-2.08%	1693.62	61.00
1977	8	-1.18%	1673.71	61.20
1977	9	-2.20%	1636.93	61.40
1977	10	0.98%	1652.99	61.60
1977	11	-0.08%	1651.66	61.90
1977	12	-3.39%	1595.67	62.10
1978	1	-0.97%	1580.16	62.50
1978	2	0.27%	1584.35	62.90
1978	3	4.83%	1660.88	63.40
1978	4	5.50%	1752.30	63.90
1978	5	0.67%	1764.10	64.50
1978	6	-0.06%	1763.00	65.20
1978	7	7.33%	1892.20	65.70
1978	8	0.40%	1899.76	66.00
1978	9	-2.77%	1847.07	66.50
1978	10	-5.44%	1746.63	67.10
1978	11	1.92%	1780.22	67.40
1978	12	4.19%	1854.73	67.70
1979	1	-1.06%	1835.12	68.30
1979	2	2.34%	1878.09	69.10
1979	3	2.43%	1923.74	69.80
1979	4	-1.89%	1887.32	70.60
1979	5	2.42%	1932.95	71.50
1979	6	1.42%	1960.42	72.30
1979	7	5.01%	2058.72	73.10
1979	8	1.54%	2090.43	73.80
1979	9	-3.35%	2020.35	74.60
1979	10	-0.32%	2013.84	75.20
1979	11	4.40%	2102.52	75.90
1979	12	3.31%	2172.17	76.70
1980	1	4.40%	2267.66	77.80
1980	2	-8.78%	2068.60	78.90
1980	3	-1.16%	2044.57	80.10
1980	4	5.04%	2147.53	81.00
1980	5	6.86%	2294.91	81.80
1980	6	4.97%	2408.96	82.70
1980	7	3.50%	2493.38	82.70
1980	8	2.84%	2564.09	83.30
1980	9	3.32%	2649.34	84.00
1980	10	4.61%	2771.60	84.80
1980	11	-1.24%	2737.10	85.50
1980	12	0.01%	2737.37	86.30
1981	1	-3.07%	2653.33	87.00
1981	2	4.14%	2763.27	87.90
1981	3	1.29%	2799.02	88.50
1981	4	-1.62%	2753.75	89.10
1981	5	0.86%	2777.37	89.80
1981	6	-2.02%	2721.37	90.60
1981	7	0.80%	2743.21	91.60
1981	8	-8.30%	2515.45	92.30
1981	9	1.73%	2558.90	93.20
1981	10	3.04%	2636.78	93.40
1981	11	1.18%	2667.88	93.70
1981	12	-4.80%	2539.71	94.00
1982	1	-1.91%	2491.10	94.30
1982	2	-2.74%	2422.73	94.60
1982	3	5.47%	2555.24	94.50
1982	4	0.57%	2569.80	94.90
1982	5	-5.27%	2434.35	95.80
1982	6	0.24%	2440.29	97.00
1982	7	0.79%	2459.66	97.50
1982	8	12.10%	2757.19	97.70
1982	9	8.88%	3002.07	97.90
1982	10	4.50%	3137.16	98.20
1982	11	1.36%	3179.69	98.00
1982	12	3.93%	3304.51	97.60
1983	1	2.13%	3374.90	97.80
1983	2	3.87%	3505.36	97.90
1983	3	4.20%	3652.49	97.90
1983	4	4.42%	3814.08	98.60
1983	5	1.75%	3880.96	99.20
1983	6	0.71%	3908.44	99.50
1983	7	-2.41%	3814.36	99.90
1983	8	3.31%	3940.76	100.20
1983	9	0.65%	3966.29	100.70
1983	10	-1.14%	3921.02	101.00
1983	11	-0.13%	3916.00	101.20
1983	12	1.58%	3977.71	101.30
1984	1	-5.11%	3774.36	101.90
1984	2	0.44%	3791.06	102.40
1984	3	0.51%	3810.29	102.60
1984	4	-0.25%	3800.67	103.10
1984	5	-1.85%	3730.42	103.40
1984	6	-0.91%	3696.53	103.70
1984	7	9.21%	4036.85	104.10
